lag_months,correlation,observations
-6,0.3074052662698294,70
-5,0.16123297327311856,71
-4,0.1939551874864762,72
-3,0.1892097341292346,73
-2,0.19998581124629786,74
-1,0.11517967868005537,75
0,0.15160578324885893,76
1,0.12445755738808549,75
2,0.18063558144413658,74
3,0.18769325390975036,73
4,0.23299070988801862,72
5,0.10744726625512495,71
6,0.0748307492962181,70
